order_id,customer_id,order_date,payment_method,order_status
ORD00000114,CUST001500,2024-12-22,Buy Now Pay Later,Completed
ORD00000115,CUST001087,2024-01-19,PayPal,Completed
ORD00000116,CUST001979,2024-11-23,Debit Card,Completed
ORD00000117,CUST001560,2024-12-19,PayPal,Completed
ORD00000118,CUST000613,2024-11-04,Bank Transfer,Completed
ORD00000119,CUST009849,2024-08-06,Apple Pay,Completed
ORD00000120,CUST005706,2024-05-23,Credit Card,Completed
ORD00000121,CUST000943,2024-08-26,Google Pay,Completed
ORD00000122,CUST006950,2024-09-03,Apple Pay,Completed
ORD00000123,CUST001556,2024-08-06,Google Pay,Completed
ORD00000124,CUST006336,2024-12-08,Credit Card,Completed
ORD00000125,CUST002760,2024-09-28,Debit Card,Completed
ORD00000126,CUST002995,2024-02-05,Bank Transfer,Completed
ORD00000127,CUST004180,2024-09-29,Debit Card,Completed
ORD00000128,CUST001506,2024-01-20,Buy Now Pay Later,Cancelled
ORD00000129,CUST008295,2024-12-24,PayPal,Completed
ORD00000130,CUST007445,2024-01-17,Apple Pay,Completed
ORD00000131,CUST004145,2024-09-12,Debit Card,Completed
ORD00000132,CUST000650,2024-05-19,Bank Transfer,Completed
ORD00000133,CUST001940,2024-07-27,Buy Now Pay Later,Completed
ORD00000134,CUST003090,2024-05-22,Google Pay,Completed
ORD00000135,CUST008078,2024-09-05,Apple Pay,Completed
ORD00000136,CUST004786,2024-08-19,PayPal,Completed
ORD00000137,CUST007446,2024-05-22,PayPal,Completed
ORD00000138,CUST004150,2024-11-10,Google Pay,Completed
ORD00000139,CUST000582,2024-06-18,Debit Card,Completed
ORD00000140,CUST008037,2024-06-13,PayPal,Completed
ORD00000141,CUST003640,2024-10-12,Credit Card,Completed
ORD00000142,CUST004272,2024-04-05,Debit Card,Completed
ORD00000143,CUST009897,2024-07-19,Apple Pay,Completed
ORD00000144,CUST004150,2024-09-21,Bank Transfer,Completed
ORD00000145,CUST001641,2024-10-13,Google Pay,Completed
ORD00000146,CUST003829,2024-09-19,Bank Transfer,Completed
ORD00000147,CUST000467,2024-04-22,Google Pay,Completed
ORD00000148,CUST002267,2024-08-28,Apple Pay,Completed
ORD00000149,CUST005767,2024-09-26,Debit Card,Completed
ORD00000150,CUST000458,2024-03-24,Credit Card,Completed
ORD00000151,CUST000140,2024-09-24,Debit Card,Shipped
ORD00000152,CUST002955,2024-01-25,PayPal,Completed
ORD00000153,CUST000458,2024-11-02,Apple Pay,Completed
ORD00000154,CUST009645,2024-11-01,Apple Pay,Processing
ORD00000155,CUST005806,2024-08-07,Bank Transfer,Completed
ORD00000156,CUST009960,2024-10-17,PayPal,Completed
ORD00000157,CUST004875,2024-10-29,PayPal,Completed
ORD00000158,CUST001896,2024-01-19,Buy Now Pay Later,Shipped
ORD00000159,CUST008305,2024-11-14,Credit Card,Completed
ORD00000160,CUST007364,2024-02-24,Debit Card,Completed
ORD00000161,CUST001096,2024-03-10,Credit Card,Completed
ORD00000162,CUST000821,2024-03-28,Debit Card,Completed
ORD00000163,CUST000688,2024-04-10,Credit Card,Completed
ORD00000164,CUST000936,2024-06-07,Bank Transfer,Completed
ORD00000165,CUST001437,2024-10-16,Debit Card,Completed
ORD00000166,CUST007813,2024-12-18,Apple Pay,Completed
ORD00000167,CUST004992,2024-05-04,Credit Card,Completed
ORD00000168,CUST001368,2024-11-30,Apple Pay,Completed
ORD00000169,CUST001530,2024-10-24,Bank Transfer,Processing
ORD00000170,CUST006154,2024-05-17,Bank Transfer,Completed
ORD00000171,CUST001374,2024-07-27,PayPal,Completed
ORD00000172,CUST007266,2024-09-23,Apple Pay,Completed
ORD00000173,CUST007567,2024-06-09,Google Pay,Completed
ORD00000174,CUST001506,2024-05-30,Bank Transfer,Completed
ORD00000175,CUST001507,2024-01-14,Bank Transfer,Completed
ORD00000176,CUST006338,2024-04-06,Debit Card,Completed
ORD00000177,CUST007076,2024-04-23,PayPal,Completed
ORD00000178,CUST003971,2024-08-05,Buy Now Pay Later,Completed
ORD00000179,CUST001661,2024-09-01,Apple Pay,Completed
ORD00000180,CUST007309,2024-05-08,Apple Pay,Completed
ORD00000181,CUST005979,2024-03-31,Credit Card,Completed
ORD00000182,CUST006742,2024-06-17,Google Pay,Completed
ORD00000183,CUST007350,2024-05-24,Credit Card,Completed
ORD00000184,CUST005852,2024-12-30,Google Pay,Returned
ORD00000185,CUST003507,2024-08-07,Debit Card,Completed
ORD00000186,CUST005844,2024-09-07,Credit Card,Completed
ORD00000187,CUST009232,2024-08-06,Bank Transfer,Shipped
ORD00000188,CUST006297,2024-02-15,Debit Card,Completed
ORD00000189,CUST000418,2024-09-27,Buy Now Pay Later,Completed
ORD00000190,CUST000376,2024-05-20,PayPal,Completed
ORD00000191,CUST003351,2024-07-20,Bank Transfer,Completed
ORD00000192,CUST002596,2024-12-23,Apple Pay,Completed
ORD00000193,CUST007801,2024-12-07,Apple Pay,Completed
ORD00000194,CUST006622,2024-08-18,Google Pay,Completed
ORD00000195,CUST005146,2024-06-17,Bank Transfer,Completed
ORD00000196,CUST001445,2024-07-28,Bank Transfer,Completed
ORD00000197,CUST004180,2024-05-29,Debit Card,Shipped
ORD00000198,CUST008044,2024-09-26,Apple Pay,Completed
ORD00000199,CUST000857,2024-04-28,Buy Now Pay Later,Completed
ORD00000200,CUST002130,2024-11-01,Google Pay,Shipped
ORD00000201,CUST005109,2024-11-02,PayPal,Completed
ORD00000202,CUST006768,2024-05-17,Apple Pay,Completed
ORD00000203,CUST003534,2024-03-20,Buy Now Pay Later,Completed
ORD00000204,CUST003626,2024-06-28,PayPal,Completed
ORD00000205,CUST001954,2024-09-01,Google Pay,Cancelled
ORD00000206,CUST008989,2024-05-28,Google Pay,Completed
ORD00000207,CUST004832,2024-12-02,Google Pay,Completed
ORD00000208,CUST000459,2024-03-14,Credit Card,Completed
ORD00000209,CUST000582,2024-03-05,Buy Now Pay Later,Completed
ORD00000210,CUST003965,2024-12-28,Google Pay,Completed
ORD00000211,CUST008081,2024-10-22,Credit Card,Completed
ORD00000212,CUST001105,2024-08-02,Credit Card,Completed
ORD00000213,CUST004991,2024-12-04,Bank Transfer,Completed
ORD00000214,CUST007821,2024-08-15,Credit Card,Completed
ORD00000215,CUST006039,2024-10-16,Credit Card,Completed
ORD00000216,CUST007404,2024-08-04,PayPal,Completed
ORD00000217,CUST009891,2024-09-18,PayPal,Completed
ORD00000218,CUST007536,2024-08-21,Buy Now Pay Later,Completed
ORD00000219,CUST007025,2024-04-08,Credit Card,Completed
ORD00000220,CUST004817,2024-04-27,Apple Pay,Completed
ORD00000221,CUST004122,2024-03-26,Buy Now Pay Later,Completed
ORD00000222,CUST002939,2024-05-12,Debit Card,Completed
ORD00000223,CUST000402,2024-11-25,PayPal,Completed
ORD00000224,CUST004256,2024-02-02,Apple Pay,Completed
ORD00000225,CUST005749,2024-05-22,Buy Now Pay Later,Completed
ORD00000226,CUST000575,2024-11-15,Buy Now Pay Later,Completed
ORD00000227,CUST000815,2024-05-11,Bank Transfer,Completed
ORD00000228,CUST001445,2024-06-16,Google Pay,Completed
ORD00000229,CUST006050,2024-07-31,Buy Now Pay Later,Completed
ORD00000230,CUST007647,2024-10-31,Bank Transfer,Completed
ORD00000231,CUST002567,2024-12-09,Debit Card,Completed
ORD00000232,CUST000808,2024-11-08,Apple Pay,Completed
ORD00000233,CUST001829,2024-11-23,Apple Pay,Completed
ORD00000234,CUST002510,2024-09-18,Debit Card,Completed
ORD00000235,CUST008563,2024-11-18,Buy Now Pay Later,Completed
ORD00000236,CUST001287,2024-05-12,Buy Now Pay Later,Completed
ORD00000237,CUST003692,2024-02-22,Buy Now Pay Later,Completed
ORD00000238,CUST002462,2024-07-12,Google Pay,Completed
ORD00000239,CUST006072,2024-04-29,Buy Now Pay Later,Completed
ORD00000240,CUST004519,2024-05-14,Google Pay,Completed
ORD00000241,CUST009279,2024-06-30,Credit Card,Completed
ORD00000242,CUST005371,2024-05-05,Debit Card,Completed
ORD00000243,CUST004401,2024-12-25,Bank Transfer,Completed
ORD00000244,CUST005902,2024-12-20,Bank Transfer,Completed
ORD00000245,CUST008176,2024-12-21,Credit Card,Completed
ORD00000246,CUST000721,2024-12-24,Credit Card,Completed
ORD00000247,CUST009443,2024-03-29,Google Pay,Completed
ORD00000248,CUST004027,2024-09-25,PayPal,Completed
ORD00000249,CUST002314,2024-03-17,Credit Card,Completed
ORD00000250,CUST000182,2024-08-18,Bank Transfer,Completed
ORD00000251,CUST006593,2024-09-10,PayPal,Completed
ORD00000252,CUST003759,2024-05-18,Bank Transfer,Completed
ORD00000253,CUST004477,2024-11-14,Buy Now Pay Later,Completed
ORD00000254,CUST009845,2024-06-04,PayPal,Completed
ORD00000255,CUST002022,2024-05-07,Credit Card,Completed
ORD00000256,CUST009358,2024-03-12,Google Pay,Completed
ORD00000257,CUST000911,2024-12-08,PayPal,Completed
ORD00000258,CUST005244,2024-09-13,PayPal,Completed
ORD00000259,CUST006107,2024-06-22,Bank Transfer,Completed
ORD00000260,CUST006839,2024-08-19,Bank Transfer,Completed
ORD00000261,CUST004665,2024-05-02,Google Pay,Completed
ORD00000262,CUST001646,2024-03-09,Credit Card,Completed
ORD00000263,CUST005436,2024-05-30,PayPal,Completed
ORD00000264,CUST004587,2024-02-25,Debit Card,Shipped
ORD00000265,CUST007591,2024-09-05,Credit Card,Completed
ORD00000266,CUST001278,2024-04-11,Apple Pay,Completed
ORD00000267,CUST003079,2024-06-24,PayPal,Completed
ORD00000268,CUST009736,2024-07-12,Buy Now Pay Later,Completed
ORD00000269,CUST001934,2024-08-09,Credit Card,Completed
ORD00000270,CUST006931,2024-05-14,Debit Card,Completed
ORD00000271,CUST009800,2024-03-19,Bank Transfer,Shipped
ORD00000272,CUST001722,2024-06-29,Debit Card,Completed
ORD00000273,CUST007541,2024-06-06,PayPal,Completed
ORD00000274,CUST002089,2024-05-30,Apple Pay,Completed
ORD00000275,CUST002681,2024-07-05,Google Pay,Processing
ORD00000276,CUST003307,2024-05-31,Apple Pay,Completed
ORD00000277,CUST003964,2024-08-19,Google Pay,Completed
ORD00000278,CUST007790,2024-11-02,Credit Card,Completed
ORD00000279,CUST007195,2024-07-08,Google Pay,Completed
ORD00000280,CUST006779,2024-10-06,Google Pay,Processing
ORD00000281,CUST008552,2024-06-24,Credit Card,Completed
ORD00000282,CUST006835,2024-11-30,Apple Pay,Completed
ORD00000283,CUST009788,2024-04-25,Bank Transfer,Completed
ORD00000284,CUST005649,2024-07-28,PayPal,Completed
ORD00000285,CUST004782,2024-06-13,Credit Card,Cancelled
ORD00000286,CUST007106,2024-03-22,Google Pay,Completed
ORD00000287,CUST009984,2024-09-25,Debit Card,Completed
ORD00000288,CUST005284,2024-12-08,Debit Card,Completed
ORD00000289,CUST004687,2024-08-07,PayPal,Completed
ORD00000290,CUST007021,2024-02-02,Bank Transfer,Completed
ORD00000291,CUST003926,2024-01-28,Buy Now Pay Later,Shipped
ORD00000292,CUST002216,2024-12-07,Debit Card,Completed
ORD00000293,CUST004345,2024-06-24,Google Pay,Completed
ORD00000294,CUST005174,2024-05-10,Bank Transfer,Completed
ORD00000295,CUST006324,2024-03-15,Credit Card,Completed
ORD00000296,CUST002289,2024-04-20,Buy Now Pay Later,Completed
ORD00000297,CUST003465,2024-11-13,Buy Now Pay Later,Processing
ORD00000298,CUST003098,2024-03-12,Credit Card,Completed
ORD00000299,CUST004582,2024-11-23,Buy Now Pay Later,Completed
ORD00000300,CUST007481,2024-08-30,Bank Transfer,Processing
ORD00000301,CUST008161,2024-05-08,Buy Now Pay Later,Completed
ORD00000302,CUST007392,2024-02-24,Google Pay,Completed
ORD00000303,CUST000360,2024-06-29,Debit Card,Completed
ORD00000304,CUST004614,2024-04-04,PayPal,Completed
ORD00000305,CUST002326,2024-08-11,Google Pay,Completed
ORD00000306,CUST002179,2024-09-28,Credit Card,Processing
ORD00000307,CUST007957,2024-08-14,Apple Pay,Completed
ORD00000308,CUST009653,2024-04-04,Google Pay,Completed
ORD00000309,CUST001498,2024-06-19,Google Pay,Returned
ORD00000310,CUST005153,2024-07-26,Bank Transfer,Completed
ORD00000311,CUST001622,2024-08-02,Buy Now Pay Later,Completed
ORD00000312,CUST008798,2024-05-28,Bank Transfer,Completed
ORD00000313,CUST004181,2024-05-07,Credit Card,Completed
ORD00000314,CUST007106,2024-07-16,Apple Pay,Completed
ORD00000315,CUST001222,2024-12-14,Apple Pay,Completed
ORD00000316,CUST007481,2024-01-26,PayPal,Completed
ORD00000317,CUST005716,2024-09-03,PayPal,Completed
ORD00000318,CUST007194,2024-08-16,Google Pay,Completed
ORD00000319,CUST001382,2024-11-23,Google Pay,Completed
ORD00000320,CUST006373,2024-10-21,Credit Card,Completed
ORD00000321,CUST002394,2024-03-25,Google Pay,Completed
ORD00000322,CUST005624,2024-08-12,Buy Now Pay Later,Completed
ORD00000323,CUST004454,2024-09-29,Buy Now Pay Later,Completed
ORD00000324,CUST002851,2024-03-16,Credit Card,Completed
ORD00000325,CUST004650,2024-10-19,PayPal,Completed
ORD00000326,CUST005038,2024-04-19,PayPal,Completed
ORD00000327,CUST004506,2024-02-07,Bank Transfer,Completed
ORD00000328,CUST002778,2024-12-10,Buy Now Pay Later,Processing
ORD00000329,CUST001558,2024-04-19,Buy Now Pay Later,Completed
ORD00000330,CUST008199,2024-10-31,Apple Pay,Completed
ORD00000331,CUST008305,2024-09-22,Apple Pay,Completed
ORD00000332,CUST004189,2024-07-20,Buy Now Pay Later,Completed
ORD00000333,CUST008184,2024-02-14,Buy Now Pay Later,Completed
ORD00000334,CUST000273,2024-07-15,Credit Card,Completed
ORD00000335,CUST001177,2024-10-12,PayPal,Completed
ORD00000336,CUST007902,2024-01-15,Debit Card,Completed
ORD00000337,CUST001812,2024-06-09,Bank Transfer,Completed
ORD00000338,CUST008902,2024-10-06,PayPal,Completed
ORD00000339,CUST008198,2024-07-26,Debit Card,Completed
ORD00000340,CUST009926,2024-03-31,PayPal,Completed
ORD00000341,CUST004088,2024-02-16,Apple Pay,Completed
ORD00000342,CUST001509,2024-06-17,Apple Pay,Completed
ORD00000343,CUST005675,2024-02-11,Bank Transfer,Completed
ORD00000344,CUST007957,2024-01-23,Bank Transfer,Shipped
ORD00000345,CUST000448,2024-03-10,Bank Transfer,Completed
ORD00000346,CUST004737,2024-07-21,Bank Transfer,Completed
ORD00000347,CUST008866,2024-05-12,Buy Now Pay Later,Completed
ORD00000348,CUST004253,2024-07-23,Credit Card,Shipped
ORD00000349,CUST000546,2024-02-06,PayPal,Completed
ORD00000350,CUST000313,2024-10-16,PayPal,Completed
ORD00000351,CUST004471,2024-08-17,Apple Pay,Completed
ORD00000352,CUST006324,2024-02-07,Bank Transfer,Completed
ORD00000353,CUST009588,2024-11-25,Debit Card,Completed
ORD00000354,CUST005658,2024-11-11,Credit Card,Completed
ORD00000355,CUST004056,2024-01-20,Debit Card,Completed
ORD00000356,CUST000952,2024-03-10,Apple Pay,Completed
ORD00000357,CUST001807,2024-04-16,Bank Transfer,Completed
ORD00000358,CUST008282,2024-06-27,Credit Card,Completed
ORD00000359,CUST002052,2024-11-23,Google Pay,Completed
ORD00000360,CUST007322,2024-06-21,Buy Now Pay Later,Completed
ORD00000361,CUST000128,2024-09-08,Bank Transfer,Completed
ORD00000362,CUST004789,2024-03-31,Credit Card,Cancelled
ORD00000363,CUST008629,2024-07-19,Debit Card,Processing
ORD00000364,CUST004384,2024-01-31,Buy Now Pay Later,Completed
ORD00000365,CUST005091,2024-09-01,Bank Transfer,Completed
ORD00000366,CUST009593,2024-03-31,Credit Card,Completed
ORD00000367,CUST006545,2024-08-08,Apple Pay,Completed
ORD00000368,CUST004483,2024-11-05,PayPal,Completed
ORD00000369,CUST005341,2024-12-27,Bank Transfer,Completed
ORD00000370,CUST003026,2024-02-05,Google Pay,Completed
ORD00000371,CUST000018,2024-08-24,Debit Card,Completed
ORD00000372,CUST002743,2024-04-10,Credit Card,Completed
ORD00000373,CUST001507,2024-03-17,Buy Now Pay Later,Completed
ORD00000374,CUST002906,2024-05-31,Bank Transfer,Completed
ORD00000375,CUST005676,2024-09-29,Credit Card,Completed
ORD00000376,CUST006282,2024-10-11,PayPal,Completed
ORD00000377,CUST003992,2024-07-28,Buy Now Pay Later,Shipped
ORD00000378,CUST008686,2024-01-13,Google Pay,Completed
ORD00000379,CUST007487,2024-10-25,Google Pay,Shipped
ORD00000380,CUST005247,2024-02-11,Google Pay,Completed
ORD00000381,CUST009852,2024-03-28,Bank Transfer,Completed
ORD00000382,CUST000573,2024-05-06,PayPal,Completed
ORD00000383,CUST003168,2024-07-12,Bank Transfer,Completed
ORD00000384,CUST004513,2024-10-30,Google Pay,Completed
ORD00000385,CUST001184,2024-06-05,Debit Card,Completed
ORD00000386,CUST000759,2024-06-07,Credit Card,Processing
ORD00000387,CUST005986,2024-09-19,PayPal,Processing
ORD00000388,CUST002911,2024-03-02,Bank Transfer,Completed
ORD00000389,CUST000288,2024-01-25,Apple Pay,Completed
ORD00000390,CUST004330,2024-11-15,Google Pay,Shipped
ORD00000391,CUST005153,2024-02-22,Credit Card,Completed
ORD00000392,CUST008882,2024-08-03,Google Pay,Completed
ORD00000393,CUST005775,2024-04-07,Buy Now Pay Later,Completed
ORD00000394,CUST004865,2024-11-09,Bank Transfer,Completed
ORD00000395,CUST007285,2024-12-26,PayPal,Completed
ORD00000396,CUST004657,2024-11-08,Debit Card,Completed
ORD00000397,CUST000061,2024-05-14,Apple Pay,Completed
ORD00000398,CUST005255,2024-09-21,Apple Pay,Completed
ORD00000399,CUST000161,2024-02-06,PayPal,Completed
ORD00000400,CUST006613,2024-02-02,Bank Transfer,Completed
ORD00000401,CUST000731,2024-01-07,Credit Card,Completed
ORD00000402,CUST003352,2024-05-11,Buy Now Pay Later,Completed
ORD00000403,CUST009329,2024-05-22,Google Pay,Completed
ORD00000404,CUST002892,2024-03-13,Bank Transfer,Processing
ORD00000405,CUST009304,2024-10-07,Bank Transfer,Completed
ORD00000406,CUST003535,2024-01-31,PayPal,Completed
ORD00000407,CUST007620,2024-12-06,Debit Card,Completed
ORD00000408,CUST006232,2024-11-05,Buy Now Pay Later,Completed
ORD00000409,CUST004565,2024-11-22,Google Pay,Completed
ORD00000410,CUST002496,2024-10-22,Buy Now Pay Later,Completed
ORD00000411,CUST009586,2024-03-15,Bank Transfer,Completed
ORD00000412,CUST008754,2024-02-26,Debit Card,Completed
ORD00000413,CUST008661,2024-07-11,Google Pay,Completed
ORD00000414,CUST005038,2024-02-18,Buy Now Pay Later,Completed
ORD00000415,CUST000273,2024-03-26,Google Pay,Completed
ORD00000416,CUST000098,2024-08-07,Credit Card,Completed
ORD00000417,CUST007426,2024-12-28,Bank Transfer,Completed
ORD00000418,CUST007487,2024-11-19,Buy Now Pay Later,Shipped
ORD00000419,CUST000870,2024-11-19,Credit Card,Completed
ORD00000420,CUST006873,2024-05-11,Apple Pay,Completed
ORD00000421,CUST001781,2024-05-16,Apple Pay,Completed
ORD00000422,CUST003595,2024-11-13,Bank Transfer,Completed
ORD00000423,CUST000549,2024-01-22,Debit Card,Completed
ORD00000424,CUST006266,2024-08-06,Credit Card,Completed
ORD00000425,CUST008173,2024-11-29,Credit Card,Completed
ORD00000426,CUST008665,2024-02-13,Google Pay,Completed
ORD00000427,CUST003785,2024-12-08,PayPal,Completed
ORD00000428,CUST001848,2024-02-21,Apple Pay,Completed
ORD00000429,CUST000812,2024-06-09,Buy Now Pay Later,Completed
ORD00000430,CUST006891,2024-07-03,Credit Card,Completed
ORD00000431,CUST002629,2024-03-12,Google Pay,Completed
ORD00000432,CUST005853,2024-10-01,PayPal,Shipped
ORD00000433,CUST006627,2024-05-29,Google Pay,Completed
ORD00000434,CUST007276,2024-07-28,Buy Now Pay Later,Completed
ORD00000435,CUST005587,2024-10-10,Credit Card,Completed
ORD00000436,CUST003992,2024-02-23,PayPal,Completed
ORD00000437,CUST005141,2024-10-19,Bank Transfer,Completed
ORD00000438,CUST003445,2024-07-26,Bank Transfer,Cancelled
ORD00000439,CUST009272,2024-01-16,PayPal,Completed
ORD00000440,CUST006603,2024-11-15,Google Pay,Completed
ORD00000441,CUST009158,2024-12-03,Buy Now Pay Later,Completed
ORD00000442,CUST005464,2024-09-13,Bank Transfer,Shipped
ORD00000443,CUST001922,2024-08-17,Buy Now Pay Later,Completed
ORD00000444,CUST008600,2024-12-10,Google Pay,Completed
ORD00000445,CUST009981,2024-06-28,Credit Card,Completed
ORD00000446,CUST006495,2024-02-01,PayPal,Completed
ORD00000447,CUST006564,2024-04-17,Bank Transfer,Completed
ORD00000448,CUST002754,2024-11-29,PayPal,Completed
ORD00000449,CUST007690,2024-03-08,Google Pay,Completed
